shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
21639,38.6666922615115,-9.17934933354558,1,
21639,38.6744790213012,-9.17503547205408,2,
21639,38.6771819072982,-9.17641583000652,3,
21639,38.674544946138,-9.17506910012992,4,
21639,38.6724466680018,-9.17517427334448,5,
21639,38.6637755208232,-9.19016352993679,6,
21639,38.6553531498459,-9.18517643464405,7,
21639,38.6527617056274,-9.18598192009931,8,
21639,38.650198492867,-9.18959290553044,9,
21639,38.6488162958419,-9.18958601979858,10,
21639,38.6469370181124,-9.19191095996979,11,
21639,38.6459679489298,-9.189181677072,12,
21639,38.6446328684358,-9.18547755688688,13,
21639,38.6481370084128,-9.18334533820936,14,
22141,38.6481370084128,-9.18334533820936,1,
22141,38.6484841616634,-9.17831099634641,2,
22141,38.645505269559,-9.17978745706607,3,
22141,38.6446194219454,-9.18543001827607,4,
22141,38.6459402021236,-9.18915155731027,5,
22141,38.6468694008466,-9.19195597428733,6,
22141,38.6486924165532,-9.18961221872692,7,
22141,38.6503669358595,-9.18946914655569,8,
22141,38.6527714334331,-9.18595242393681,9,
22141,38.6552797367202,-9.18501114745412,10,
22141,38.663722570813,-9.1892564578885,11,
22141,38.6744790213012,-9.17503547205408,12,
22141,38.6771819072982,-9.17641583000652,13,
22141,38.674544946138,-9.17506910012992,14,
22141,38.6666922615115,-9.17934933354558,15,
192971,38.6292723183302,-9.11665440491256,1,
192971,38.6278191842044,-9.11372490293704,2,
192971,38.6288362282685,-9.11283141035949,3,
192971,38.6309975909304,-9.11558485205348,4,
192971,38.632393795971,-9.11790318934231,5,
192971,38.6298360299319,-9.11855068308894,6,
192971,38.6297011861339,-9.12172139795549,7,
192971,38.6306523083611,-9.1241928085727,8,
192971,38.6299516855184,-9.12601703669623,9,
192971,38.6279590397405,-9.12582113752222,10,
192971,38.6258469558086,-9.12557632338144,11,
192971,38.6239547425544,-9.12496956157951,12,
192971,38.6205467801043,-9.1280574716071,13,
192972,38.6205467801043,-9.1280574716071,1,
192972,38.6242405151659,-9.1250140894584,2,
192972,38.6258453399237,-9.12557486548864,3,
192972,38.6280106346282,-9.12579575514323,4,
192972,38.6300021394675,-9.12604244750801,5,
192972,38.6306532591896,-9.12421847039148,6,
192972,38.6296892334842,-9.12166421418668,7,
192972,38.6297162224927,-9.11883374924142,8,
192972,38.6323677015476,-9.11762702500514,9,
192972,38.630915004032,-9.11566659599307,10,
192972,38.6292723183302,-9.11665440491256,11,
192973,38.6306204303634,-9.19552220846041,1,
192973,38.6311868296259,-9.19346655156127,2,
192973,38.6309256439961,-9.19097584022606,3,
192973,38.628855897934,-9.18772793842102,4,
192973,38.6292474727241,-9.18411147547227,5,
192973,38.6313123940037,-9.18188375486595,6,
192973,38.6341775229787,-9.17886925445846,7,
192973,38.6354144697243,-9.17674144211834,8,
192973,38.6377737858244,-9.17538561695272,9,
192973,38.6405852985445,-9.1755942591317,10,
192973,38.6437659583064,-9.17311205372646,11,
192973,38.6447081995305,-9.17166309708198,12,
192973,38.6425441573091,-9.16955735572274,13,
192973,38.6413525453945,-9.16618929556887,14,
192973,38.6415065412304,-9.16091774042788,15,
192973,38.6414970038924,-9.1574907038994,16,
192973,38.6398133295538,-9.1557906440011,17,
192973,38.6390858206909,-9.15297775798039,18,
192973,38.6365511907188,-9.150316812589,19,
192974,38.6365511907188,-9.150316812589,1,
192974,38.6387785571172,-9.15336571855345,2,
192974,38.6396793409132,-9.15560601231612,3,
192974,38.6415090981529,-9.15776158003958,4,
192974,38.6415716710566,-9.16113757532226,5,
192974,38.6413533126942,-9.16617898549286,6,
192974,38.6423861106998,-9.16937778603059,7,
192974,38.6445687578901,-9.1709978726486,8,
192974,38.642369496846,-9.17421365416496,9,
192974,38.6397211030571,-9.17573287627694,10,
192974,38.6360127902102,-9.17635991360893,11,
192974,38.6341906599943,-9.17879064292866,12,
192974,38.6320272339836,-9.18169040333772,13,
192974,38.6292839385317,-9.18405677026664,14,
192974,38.6289192080193,-9.18789993607403,15,
192974,38.630928612659,-9.19097926833013,16,
192974,38.631247847176,-9.19311745967639,17,
192974,38.6302573674663,-9.19681336866042,18,
192974,38.6306204303634,-9.19552220846041,19,
192975,38.6433338009834,-9.09931020853624,1,
192975,38.6409481376028,-9.09845445032841,2,
192975,38.6386016333839,-9.09703961215892,3,
192975,38.6366241180698,-9.09499312947886,4,
192975,38.6346628356774,-9.09314642435418,5,
192975,38.6330643103874,-9.09101331774496,6,
192975,38.6310961226836,-9.08802048504756,7,
192975,38.6284894703432,-9.08622688318684,8,
192975,38.6268311401989,-9.08431210454088,9,
192975,38.6242862337416,-9.08570842088281,10,
192975,38.6220734323838,-9.08836248821743,11,
192975,38.6216672153963,-9.09173809290845,12,
192975,38.6213257343835,-9.09491982215009,13,
192975,38.6209092160723,-9.09859791577627,14,
192975,38.6194771366273,-9.10143538309241,15,
192975,38.6174686474587,-9.10183412240821,16,
192975,38.6179499713773,-9.09889324729619,17,
192975,38.6160477160114,-9.09671171486694,18,
192975,38.613112095877,-9.09444171153171,19,
192975,38.6102519843149,-9.09365829306042,20,
192975,38.6091729059502,-9.09466995826618,21,
192975,38.6095585741064,-9.10025296263118,22,
