service_id,date,exception_type
27552155,20191201,1
27552155,20191208,1
27552155,20200216,1
27552155,20201101,1
27552155,20201005,1
27552155,20211101,1
27552155,20200225,1
27552155,20201201,1
27552155,20201208,1
27552155,20210216,1
27552155,20211005,1
27552155,20191225,1
27552155,20200101,1
27552155,20200603,1
27552155,20200610,1
27552155,20211201,1
27552155,20211208,1
27552155,20200402,1
27552155,20200611,1
27552155,20210603,1
27552155,20210610,1
27552155,20191101,1
27552155,20200501,1
27552155,20201225,1
27552155,20191005,1
27552155,20200404,1
27552155,20200425,1
27552155,20200613,1
27552155,20210501,1
27552156,20191201,1
27552156,20191208,1
27552156,20200216,1
27552156,20201101,1
27552156,20201005,1
27552156,20211101,1
27552156,20200225,1
27552156,20201201,1
27552156,20201208,1
27552156,20210216,1
27552156,20211005,1
27552156,20191225,1
27552156,20200101,1
27552156,20200603,1
27552156,20200610,1
27552156,20211201,1
27552156,20211208,1
27552156,20200402,1
27552156,20200611,1
27552156,20210603,1
27552156,20210610,1
27552156,20191101,1
27552156,20200501,1
27552156,20201225,1
27552156,20191005,1
27552156,20200404,1
27552156,20200425,1
27552156,20200613,1
27552156,20210501,1
27552157,20191201,1
27552157,20191208,1
27552157,20200216,1
27552157,20201101,1
27552157,20201005,1
27552157,20211101,1
27552157,20200225,1
27552157,20201201,1
27552157,20201208,1
27552157,20210216,1
27552157,20211005,1
27552157,20191225,1
27552157,20200101,1
27552157,20200603,1
27552157,20200610,1
27552157,20211201,1
27552157,20211208,1
27552157,20200402,1
27552157,20200611,1
27552157,20210603,1
27552157,20210610,1
27552157,20191101,1
27552157,20200501,1
27552157,20201225,1
27552157,20191005,1
27552157,20200404,1
27552157,20200425,1
27552157,20200613,1
27552157,20210501,1
27552183,20191201,1
27552183,20191208,1
27552183,20200216,1
27552183,20201101,1
27552183,20201005,1
27552183,20211101,1
27552183,20200225,1
27552183,20201201,1
27552183,20201208,1
27552183,20210216,1
27552183,20211005,1
27552183,20191225,1
27552183,20200101,1
27552183,20200603,1
27552183,20200610,1
27552183,20211201,1
27552183,20211208,1
27552183,20200402,1
