route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
160134,27581474,27581474,,,,160134
160134,27581484,27581484,,,,160134
160134,27581489,27581489,,,,160134
160134,27581544,27581544,,,,160134
160134,27581494,27581494,,,,160134
160134,27581499,27581499,,,,160134
160134,27581504,27581504,,,,160134
160134,27581479,27581479,,,,160134
160134,27581509,27581509,,,,160134
160134,27581519,27581519,,,,160134
160134,27581524,27581524,,,,160134
160134,27581534,27581534,,,,160134
160134,27581514,27581514,,,,160134
160134,27581529,27581529,,,,160134
160134,27581549,27581549,,,,160134
160134,27581554,27581554,,,,160134
160134,27581559,27581559,,,,160134
160134,27581539,27581539,,,,160134
160134,27581564,27581564,,,,160134
160134,27581569,27581569,,,,160134
160134,27581579,27581579,,,,160134
160134,27581584,27581584,,,,160134
160134,27581589,27581589,,,,160134
160134,27581594,27581594,,,,160134
160134,27581574,27581574,,,,160134
160134,27581599,27581599,,,,160134
160134,27581604,27581604,,,,160134
160134,27581609,27581609,,,,160134
160134,27581614,27581614,,,,160134
160134,27581619,27581619,,,,160134
160134,27581624,27581624,,,,160134
160134,27581629,27581629,,,,160134
160134,27581634,27581634,,,,160134
160165,27659163,27659163,,,,160165
160165,27659161,27659161,,,,160165
160165,27658740,27658740,,,,160165
160165,27658755,27658755,,,,160165
160165,27658839,27658839,,,,160165
160165,27658845,27658845,,,,160165
160165,27658911,27658911,,,,160165
160165,27658905,27658905,,,,160165
160165,27659142,27659142,,,,160165
160165,27659145,27659145,,,,160165
160165,27659156,27659156,,,,160165
160165,27658827,27658827,,,,160165
160165,27658761,27658761,,,,160165
160165,27658794,27658794,,,,160165
160165,27658848,27658848,,,,160165
160165,27658854,27658854,,,,160165
160165,27658863,27658863,,,,160165
160165,27658875,27658875,,,,160165
160165,27658908,27658908,,,,160165
160165,27659138,27659138,,,,160165
160165,27658695,27658695,,,,160165
160165,27658715,27658715,,,,160165
160165,27658620,27658620,,,,160165
160165,27658625,27658625,,,,160165
160165,27659154,27659154,,,,160165
160165,27659141,27659141,,,,160165
160165,27659144,27659144,,,,160165
160165,27659148,27659148,,,,160165
160165,27658803,27658803,,,,160165
160165,27658767,27658767,,,,160165
160165,27658785,27658785,,,,160165
160165,27658830,27658830,,,,160165
160165,27659139,27659139,,,,160165
160165,27659143,27659143,,,,160165
160165,27658630,27658630,,,,160165
160165,27658640,27658640,,,,160165
160165,27658645,27658645,,,,160165
160165,27658655,27658655,,,,160165
160165,27658665,27658665,,,,160165
160165,27658635,27658635,,,,160165
160165,27658779,27658779,,,,160165
160165,27658700,27658700,,,,160165
160165,27658690,27658690,,,,160165
160165,27658710,27658710,,,,160165
160165,27658670,27658670,,,,160165
160165,27658680,27658680,,,,160165
160165,27658660,27658660,,,,160165
160165,27658650,27658650,,,,160165
160165,27659159,27659159,,,,160165
160165,27658725,27658725,,,,160165
160165,27658750,27658750,,,,160165
160165,27658899,27658899,,,,160165
160165,27658851,27658851,,,,160165
160165,27659152,27659152,,,,160165
160165,27659149,27659149,,,,160165
160165,27658758,27658758,,,,160165
160165,27658878,27658878,,,,160165
160165,27658866,27658866,,,,160165
160165,27658872,27658872,,,,160165
160165,27658887,27658887,,,,160165
160165,27659150,27659150,,,,160165
160165,27659146,27659146,,,,160165
160165,27658821,27658821,,,,160165
160165,27658764,27658764,,,,160165
160165,27658773,27658773,,,,160165
160165,27658806,27658806,,,,160165
160165,27658812,27658812,,,,160165
160165,27658791,27658791,,,,160165
160165,27659140,27659140,,,,160165
160165,27659151,27659151,,,,160165
160165,27659155,27659155,,,,160165
160165,27659157,27659157,,,,160165
160165,27658824,27658824,,,,160165
160165,27658833,27658833,,,,160165
160165,27658818,27658818,,,,160165
160165,27658809,27658809,,,,160165
160165,27658797,27658797,,,,160165
160165,27658782,27658782,,,,160165
160165,27658857,27658857,,,,160165
160165,27658788,27658788,,,,160165
160165,27658776,27658776,,,,160165
160165,27658770,27658770,,,,160165
160165,27658800,27658800,,,,160165
160165,27658815,27658815,,,,160165
160165,27658884,27658884,,,,160165
160165,27658893,27658893,,,,160165
160165,27658685,27658685,,,,160165
160165,27658675,27658675,,,,160165
160165,27659158,27659158,,,,160165
160165,27659160,27659160,,,,160165
160165,27659153,27659153,,,,160165
160165,27659147,27659147,,,,160165
160165,27659162,27659162,,,,160165
160165,27658836,27658836,,,,160165
160165,27658842,27658842,,,,160165
160165,27658860,27658860,,,,160165
160165,27658869,27658869,,,,160165
160165,27658881,27658881,,,,160165
160165,27658896,27658896,,,,160165
160165,27658902,27658902,,,,160165
160165,27658890,27658890,,,,160165
160165,27658735,27658735,,,,160165
160165,27658720,27658720,,,,160165
160165,27658705,27658705,,,,160165
160165,27658730,27658730,,,,160165
160165,27658745,27658745,,,,160165
160166,27597783,27597783,,,,160166
160166,27597793,27597793,,,,160166
160166,27598088,27598088,,,,160166
160166,27598098,27598098,,,,160166
160166,27597801,27597801,,,,160166
160166,27597810,27597810,,,,160166
160166,27597816,27597816,,,,160166
160166,27597825,27597825,,,,160166
160166,27597831,27597831,,,,160166
160166,27597837,27597837,,,,160166
160166,27597843,27597843,,,,160166
160166,27597849,27597849,,,,160166
160166,27597855,27597855,,,,160166
160166,27597861,27597861,,,,160166
160166,27597867,27597867,,,,160166
160166,27597873,27597873,,,,160166
160166,27597879,27597879,,,,160166
160166,27597885,27597885,,,,160166
160166,27597897,27597897,,,,160166
160166,27597718,27597718,,,,160166
160166,27598099,27598099,,,,160166
160166,27598101,27598101,,,,160166
160166,27598095,27598095,,,,160166
160166,27597798,27597798,,,,160166
160166,27597891,27597891,,,,160166
160166,27597903,27597903,,,,160166
160166,27597906,27597906,,,,160166
160166,27597723,27597723,,,,160166
160166,27597728,27597728,,,,160166
160166,27598094,27598094,,,,160166
160166,27598090,27598090,,,,160166
160166,27598092,27598092,,,,160166
160166,27598100,27598100,,,,160166
160166,27598097,27598097,,,,160166
160166,27598085,27598085,,,,160166
160166,27598081,27598081,,,,160166
160166,27598083,27598083,,,,160166
160166,27597813,27597813,,,,160166
160166,27597804,27597804,,,,160166
160166,27597807,27597807,,,,160166
160166,27597852,27597852,,,,160166
160166,27597846,27597846,,,,160166
160166,27597840,27597840,,,,160166
160166,27597834,27597834,,,,160166
160166,27597828,27597828,,,,160166
160166,27597822,27597822,,,,160166
160166,27597864,27597864,,,,160166
160166,27597894,27597894,,,,160166
160166,27597900,27597900,,,,160166
160166,27597888,27597888,,,,160166
160166,27597882,27597882,,,,160166
160166,27597876,27597876,,,,160166
160166,27597870,27597870,,,,160166
160166,27597733,27597733,,,,160166
160166,27597743,27597743,,,,160166
160166,27597753,27597753,,,,160166
160166,27597763,27597763,,,,160166
160166,27597773,27597773,,,,160166
160166,27598080,27598080,,,,160166
160166,27598084,27598084,,,,160166
160166,27598082,27598082,,,,160166
160166,27597858,27597858,,,,160166
160166,27597768,27597768,,,,160166
160166,27597738,27597738,,,,160166
160166,27597748,27597748,,,,160166
160166,27598089,27598089,,,,160166
160166,27598093,27598093,,,,160166
160166,27598087,27598087,,,,160166
160166,27598096,27598096,,,,160166
160166,27597819,27597819,,,,160166
160166,27598091,27598091,,,,160166
160166,27598086,27598086,,,,160166
160166,27597758,27597758,,,,160166
160166,27597778,27597778,,,,160166
160166,27597788,27597788,,,,160166
160179,27624568,27624568,,,,160179
160179,27624569,27624569,,,,160179
160179,27624570,27624570,,,,160179
160179,27624571,27624571,,,,160179
160179,27624572,27624572,,,,160179
160179,27624098,27624098,,,,160179
160179,27624223,27624223,,,,160179
160179,27624233,27624233,,,,160179
160179,27624236,27624236,,,,160179
160179,27624239,27624239,,,,160179
160179,27624242,27624242,,,,160179
160179,27624245,27624245,,,,160179
160179,27624248,27624248,,,,160179
160179,27624251,27624251,,,,160179
160179,27624254,27624254,,,,160179
160179,27624257,27624257,,,,160179
160179,27624260,27624260,,,,160179
160179,27624103,27624103,,,,160179
160179,27624108,27624108,,,,160179
160179,27624228,27624228,,,,160179
160179,27624113,27624113,,,,160179
160179,27624118,27624118,,,,160179
160179,27624128,27624128,,,,160179
160179,27624133,27624133,,,,160179
160179,27624138,27624138,,,,160179
160179,27624153,27624153,,,,160179
160179,27624168,27624168,,,,160179
160179,27624173,27624173,,,,160179
160179,27624198,27624198,,,,160179
160179,27624143,27624143,,,,160179
160179,27624178,27624178,,,,160179
160179,27624183,27624183,,,,160179
160179,27624188,27624188,,,,160179
160179,27624148,27624148,,,,160179
160179,27624123,27624123,,,,160179
160179,27624193,27624193,,,,160179
160179,27624158,27624158,,,,160179
160179,27624163,27624163,,,,160179
160179,27624213,27624213,,,,160179
160179,27624203,27624203,,,,160179
160179,27624208,27624208,,,,160179
160179,27624218,27624218,,,,160179
160180,27563436,27563436,,,,160180
160180,27563437,27563437,,,,160180
160180,27563438,27563438,,,,160180
160180,27563439,27563439,,,,160180
160180,27563440,27563440,,,,160180
160180,27563089,27563089,,,,160180
160180,27563092,27563092,,,,160180
160180,27563095,27563095,,,,160180
160180,27563098,27563098,,,,160180
160180,27563101,27563101,,,,160180
160180,27563104,27563104,,,,160180
160180,27563107,27563107,,,,160180
160180,27563110,27563110,,,,160180
160180,27563113,27563113,,,,160180
160180,27563116,27563116,,,,160180
160180,27562939,27562939,,,,160180
160180,27562949,27562949,,,,160180
160180,27562954,27562954,,,,160180
160180,27562934,27562934,,,,160180
160180,27562944,27562944,,,,160180
160180,27562959,27562959,,,,160180
