stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
11_454,,Aires (EN 252 140),,38.5658903352298,-8.88779519432474,,,,
11_2613,,Aires (EN 252 140),,38.566477165763,-8.88780780693974,,,,
11_1589,,Aires (EN 252 178),,38.5642308620328,-8.88809354178895,,,,
11_453,,Aires (EN 252 54),,38.5704046053144,-8.88816721341059,,,,
11_455,,Aires (EN 252 Lte 3),,38.5716580061669,-8.88846755855548,,,,
11_2909,,Alcochete (Avª 5 Outubro 20) Fte Igreja Matriz,,38.7559985661079,-8.95957658136796,,,,
11_3243,,Alcochete (Avª Restauração) Esc Secundária,,38.7507875073369,-8.9627224232348,,,,
11_3246,,Alcochete (Avª Restauração) Fte Esc Secundária,,38.7509933460146,-8.96288088102275,,,,
11_470,,Alcochete (Avª Revolução 43),,38.753420304488,-8.95964767834459,,,,
11_471,,Alcochete (Avª Revolução 86),,38.753265755487,-8.95987501887262,,,,
11_3664,,Alcochete (EM 502) Esc Secundária,,38.7507345468668,-8.96268153815474,,,,
11_3671,,Alcochete (EM 502) Fte Esc Secundária,,38.7504778110764,-8.96242597983382,,,,
11_3657,,Alcochete (EM 502 3) Vila Sol,,38.7444514753886,-8.95769647201586,,,,
11_3659,,Alcochete (EM 502 Fte 3) Vila Sol,,38.7445983910088,-8.95781139676068,,,,
11_2908,,Alcochete (EN 119) Canto Pinheiro,,38.7555226870422,-8.95049320348537,,,,
11_2907,,Alcochete (EN 119) Canto Pinheiro,,38.7555592910384,-8.95060735987977,,,,
11_2913,,Alcochete (EN 119) Freeport,,38.751305585598,-8.94279359597088,,,,
11_2915,,Alcochete (EN 119) Fte Freeport,,38.7512263550604,-8.94288287566526,,,,
11_2911,,Alcochete (EN 119) Fte Posto Repsol,,38.7456076596427,-8.92999881884949,,,,
11_2910,,Alcochete (EN 119) Posto Repsol,,38.7453814084403,-8.9303412665883,,,,
11_2912,,Alcochete (EN 119 Fte Lte 698),,38.7533718165325,-8.94658453452495,,,,
11_2914,,Alcochete (EN 119 Lte 698),,38.7532705954526,-8.94643697988148,,,,
11_3697,,Alcochete (Lgo Gago Coutinho 5) Igreja Matriz,,38.7566944165059,-8.96037440961228,,,,
11_2906,,Alcochete (R Salineiro 99),,38.7491443407594,-8.96553153659595,,,,
11_2905,,Alcochete (R Salineiro Fte 81),,38.749113187013,-8.9658519399284,,,,
11_2433,,Aldeia Gatos,,38.4636586656324,-9.10939895202002,,,,
11_2265,,Aldeia Gatos,,38.4637357279286,-9.10954684575571,,,,
11_483,,Aldeia Grande (EN 10) Fte Qta Esteval,,38.5249360828652,-8.94750973020548,,,,
11_484,,Aldeia Grande (EN 10) Qta Esteval,,38.5247324980944,-8.94638035721065,,,,
11_479,,Aldeia Grande (EN 10 Km 31500) Choco Frito,,38.5181721281794,-8.96934454427273,,,,
11_480,,Aldeia Grande (EN 10 Km 31500) Fte Choco Frito,,38.5185761811104,-8.96830019892706,,,,
11_482,,Aldeia Grande (EN 10 Km 32000 92),,38.520867996845,-8.96355281975668,,,,
11_481,,Aldeia Grande (EN 10 Km 32000 92),,38.520806793104,-8.96368334298862,,,,
11_487,,Aldeia Grande (EN 10 Km 32500) Casal Ponte,,38.5226421261912,-8.95869275475872,,,,
11_485,,Aldeia Grande (EN 10 Km 32500) Fte Casal Ponte,,38.5226801616407,-8.95836981807855,,,,
11_2446,,Aldeia Irmãos (28) Paragem Zona,,38.5101472837208,-9.02998998559557,,,,
11_2445,,Aldeia Irmãos (Paragem Zona),,38.5105566997049,-9.02916941216781,,,,
11_2448,,Aldeia Meco (Avª Forças Armadas) Casal Stª Filomen,,38.4624029278935,-9.16639351454452,,,,
11_2447,,Aldeia Meco (Avª Forças Armadas) Casal Stª Filomen,,38.4619500882239,-9.16594601069014,,,,
11_1170,,Aldeia Meco (Avª Forças Armadas Fte Lte 174),,38.4668942785199,-9.16924126060539,,,,
11_1169,,Aldeia Meco (Avª Forças Armadas Lte 174),,38.4668393986099,-9.16922234959536,,,,
11_2449,,Aldeia Meco (Estr Marconi) Artesanato,,38.4780722018009,-9.16463492260186,,,,
11_2450,,Aldeia Meco (Estr Marconi) Fte Artesanato,,38.4781194263112,-9.16482577262876,,,,
11_2452,,Aldeia Meco (R Praia M Baixo) Casas Encosta,,38.4747847985834,-9.1710660893829,,,,
11_2454,,Aldeia Meco (R Praia M Baixo) Centro,,38.4716649026184,-9.16959765142511,,,,
11_2453,,Aldeia Meco (R Praia M Baixo) Centro,,38.4715882577306,-9.16959591040151,,,,
11_2457,,Aldeia Meco (R Praia M Baixo) Fte Restaurante Carl,,38.4782150090705,-9.17408927214431,,,,
11_2456,,Aldeia Meco (R Praia M Baixo) Fte Viv Camarões,,38.4732944663751,-9.1701471213121,,,,
11_2458,,Aldeia Meco (R Praia M Baixo) Restaurante Carlos,,38.4782578761791,-9.17411403209354,,,,
11_2455,,Aldeia Meco (R Praia M Baixo) Viv Camarões,,38.4731133215386,-9.17013456442499,,,,
11_2461,,Aldeia Meco (R Praia M Baixo Lte 106),,38.481046283545,-9.17479842005104,,,,
11_2462,,Aldeia Meco (R Praia M Baixo Lte 121),,38.4810521736009,-9.1748073418924,,,,
