Regions,aging_index_2001,aging_index_2011,aging_index_2019
Penalva do Castelo,158.8,221.6,300.8
Santa Comba Dão,146.3,191.5,264.8
São Pedro do Sul,152.7,200.1,284.2
Sátão,121.1,166.6,243.1
Tondela,159.9,227.7,304.0
Vila Nova de Paiva,130.5,196.2,254.9
Viseu,88.9,116.9,157.2
Vouzela,148.8,215.4,300.1
Beira Baixa,237.1,254.0,286.1
Castelo Branco,166.6,179.9,213.7
Idanha-a-Nova,453.7,422.0,427.1
Oleiros,371.5,488.6,704.6
Penamacor,412.6,527.8,631.4
Proença-a-Nova,245.7,321.8,388.7
Vila Velha de Ródão,529.6,683.2,635.0
Médio Tejo,152.6,179.9,223.6
Abrantes,184.0,204.2,264.2
Alcanena,141.4,169.3,213.7
Constância,139.2,143.1,168.2
Entroncamento,87.0,105.3,133.8
Ferreira do Zêzere,201.3,217.6,263.4
Mação,359.2,411.3,485.9
Ourém,110.8,145.6,186.2
Sardoal,202.6,217.6,264.8
Sertã,184.8,209.2,271.8
Tomar,149.8,196.4,261.0
Torres Novas,150.8,174.6,207.1
Vila de Rei,323.3,392.1,440.8
Vila Nova da Barquinha,147.8,176.5,214.0
Beiras e Serra da Estrela,173.5,227.3,287.3
Almeida,272.3,436.2,617.4
Belmonte,164.6,217.6,267.6
Celorico da Beira,195.9,233.5,310.4
Covilhã,140.0,189.6,257.0
Figueira de Castelo Rodrigo,247.2,281.8,288.1
Fornos de Algodres,184.0,255.5,277.6
Fundão,174.6,220.9,273.6
Gouveia,217.2,296.6,377.7
Guarda,119.8,149.2,198.9
Manteigas,148.5,238.0,397.0
Mêda,241.1,327.6,421.9
Pinhel,216.3,286.7,391.8
Sabugal,374.5,501.8,489.3
Seia,153.5,230.0,288.2
Trancoso,193.5,267.9,361.2
Área Metropolitana de Lisboa,102.2,118.6,138.2
Área Metropolitana de Lisboa,102.2,118.6,138.2
Alcochete,93.6,77.3,100.4
Almada,118.0,130.6,155.1
Amadora,93.0,132.7,149.7
Barreiro,121.5,151.6,189.8
Cascais,98.6,103.4,129.5
Lisboa,198.7,200.8,171.5
Loures,77.0,112.2,137.9
Mafra,95.0,76.2,96.4
Moita,77.4,103.1,136.4
Montijo,113.6,96.5,101.2
Odivelas,80.3,111.7,126.5
Oeiras,105.0,125.6,159.5
Palmela,93.0,98.3,127.7
Seixal,60.3,91.8,128.6
Sesimbra,88.0,85.1,105.8
Setúbal,94.8,106.9,144.5
Sintra,55.7,77.8,107.9
Vila Franca de Xira,66.4,80.0,114.5
Alentejo,161.9,174.1,204.6
Alentejo Litoral,164.4,188.2,218.0
Alcácer do Sal,168.5,205.1,266.4
Grândola,197.8,196.6,214.6
Odemira,193.3,216.7,236.3
Santiago do Cacém,157.6,190.3,223.6
Sines,98.8,117.7,150.6
Baixo Alentejo,175.1,180.2,191.6
Aljustrel,177.3,212.4,231.1
Almodôvar,227.9,234.0,249.5
Alvito,212.3,198.5,197.5
Barrancos,196.1,173.5,169.5
Beja,139.5,135.9,148.6
Castro Verde,160.7,175.1,194.1
Cuba,181.8,170.4,165.7
Ferreira do Alentejo,192.8,208.0,201.0
Mértola,283.9,362.4,395.1
Moura,145.5,142.4,154.0
Ourique,288.1,296.7,314.5
Serpa,174.2,202.3,237.9
Vidigueira,175.5,171.8,163.3
Lezíria do Tejo,138.9,147.5,186.7
Almeirim,138.1,141.5,180.6
Alpiarça,180.6,164.8,214.7
Azambuja,130.9,138.2,169.7
Benavente,86.5,86.7,115.7
Cartaxo,128.4,139.9,178.1
Chamusca,184.9,238.2,290.9
Coruche,212.7,241.8,304.1
Golegã,157.6,175.5,235.3
Rio Maior,118.1,136.1,176.8
Salvaterra de Magos,130.6,144.0,196.6
Santarém,145.0,156.7,194.4
Alto Alentejo,194.1,207.9,239.6
Alter do Chão,275.2,287.8,254.9
Arronches,271.4,334.2,343.4
Avis,222.8,291.5,312.8
Campo Maior,133.9,131.4,159.1
Castelo de Vide,230.3,261.5,315.2
Crato,350.8,328.7,361.7
Elvas,130.8,146.9,184.5
Fronteira,216.1,219.0,262.5
Gavião,434.7,449.8,429.0
Marvão,298.4,314.4,356.8
Monforte,215.9,184.9,182.4
Nisa,367.5,364.0,403.9
Ponte de Sor,167.9,198.7,235.1
Portalegre,157.5,178.7,219.3
Sousel,226.0,244.3,291.0
Alentejo Central,160.4,182.2,214.1
Alandroal,223.3,272.6,294.7
Arraiolos,194.5,208.0,257.9
Borba,176.6,228.1,256.7
Estremoz,191.2,250.0,269.5
Évora,122.5,136.7,170.5
Montemor-o-Novo,203.4,236.9,281.4
Mora,271.1,302.4,326.5
Mourão,142.8,148.8,171.0
Portel,168.3,210.0,242.2
Redondo,178.9,182.6,210.9
Reguengos de Monsaraz,165.8,170.3,198.6
Vendas Novas,150.7,181.2,226.4
Viana do Alentejo,169.4,161.6,164.1
Vila Viçosa,133.9,176.1,217.7
Algarve,126.3,123.2,145.4
Algarve,126.3,123.2,145.4
Albufeira,75.9,79.9,100.4
Alcoutim,475.7,590.5,650.8
Aljezur,249.3,239.2,240.9
Castro Marim,203.9,208.6,246.8
Faro,110.5,115.9,140.4
Lagoa,96.1,107.9,145.0
Lagos,114.2,113.5,145.8
Loulé,125.3,119.5,140.3
Monchique,266.1,360.8,364.2
Olhão,104.3,105.8,130.6
Portimão,114.8,102.2,122.5
São Brás de Alportel,154.0,146.9,160.4
Silves,173.2,157.1,171.4
Tavira,186.3,179.4,201.2
Vila do Bispo,175.7,209.1,217.6
Vila Real de Santo António,112.3,119.8,151.2
Região Autónoma dos Açores,60.1,71.6,95.1
Região Autónoma dos Açores,60.1,71.6,95.1
Ilha de Santa Maria,59.6,72.4,103.5
Vila do Porto,59.6,72.4,103.5
Ilha de São Miguel,45.3,54.3,74.0
Lagoa [R.A.A.],35.8,49.4,71.8
Nordeste,89.8,101.3,132.6
Ponta Delgada,48.0,60.9,85.0
Povoação,66.2,82.3,117.2
Ribeira Grande,33.8,34.4,44.1
Vila Franca do Campo,48.4,58.6,79.8
Ilha Terceira,70.0,84.9,117.4
Angra do Heroísmo,72.5,87.7,122.9
Vila da Praia da Vitória,65.6,80.3,108.7
Ilha Graciosa,123.6,141.7,151.4
Santa Cruz da Graciosa,123.6,141.7,151.4
Ilha de São Jorge,100.6,128.4,165.3
Calheta [R.A.A.],104.6,137.0,185.7
Velas,97.8,122.1,151.4
Ilha do Pico,116.9,141.3,155.5
Lajes do Pico,123.8,164.5,196.8
Madalena,114.8,123.8,134.9
São Roque do Pico,111.4,143.7,143.5
Ilha do Faial,83.1,95.0,126.2
Horta,83.1,95.0,126.2
Ilha das Flores,105.3,131.6,158.9
Lajes das Flores,120.4,145.8,176.5
Santa Cruz das Flores,96.8,122.1,147.8
Ilha do Corvo,145.0,179.2,131.1
Corvo,145.0,179.2,131.1
Região Autónoma da Madeira,71.4,84.9,126.5
Região Autónoma da Madeira,71.4,84.9,126.5
Ilha da Madeira,71.7,85.1,127.0
Calheta [R.A.M.],124.6,146.7,186.3
Câmara de Lobos,33.8,47.9,79.0
Funchal,81.6,100.3,152.5
Machico,58.6,83.1,148.5
Ponta do Sol,84.1,91.1,126.5
Porto Moniz,140.3,175.5,230.7
Ribeira Brava,80.9,84.1,128.3
Santa Cruz,56.1,51.6,73.5
Santana,128.1,176.8,249.6
São Vicente,121.5,165.8,258.1
Ilha de Porto Santo,57.4,75.4,103.3
Porto Santo,57.4,75.4,103.3
