Regions,early_dependence_index_1960,early_depedence_index_1981,early_dependence_index_2001,early_dependence_index_2011
Pampilhosa da Serra,19.1,38.2,68.2,83.5
Penacova,17.7,22.9,30.7,38.8
Penela,23,34.4,45.2,50.1
Soure,16.4,27.3,39.6,46.4
Tábua,25.2,33.1,39.6,41.5
Vila Nova de Poiares,21.8,29.6,28.5,31.6
Região de Leiria,13.1,18.2,25.7,31.6
Alvaiázere,19.6,34.6,50.5,58.2
Ansião,19.1,27.8,36,44.5
Batalha,11.8,16.3,25.2,28.5
Castanheira de Pêra,18.8,29.3,41.3,54
Figueiró dos Vinhos,18.5,28.9,41.7,49.5
Leiria,11.5,13.6,20.1,25.8
Marinha Grande,9.1,13.1,22,27.8
Pedrógão Grande,20,37.6,57.2,60.4
Pombal,10.8,19.6,30.1,38.4
Porto de Mós,13.7,18.7,26.3,32.4
Viseu Dão Lafões,15.9,23.7,30.4,36.8
Aguiar da Beira,15.3,27.4,41.2,50.9
Carregal do Sal,19.2,25.9,32.9,42.1
Castro Daire,15.8,27.8,38.1,45.6
Mangualde,18.1,25.8,33.1,37.9
Nelas,16.4,22.2,31.3,39.7
Oliveira de Frades,20,26.8,30.9,33
Penalva do Castelo,18.2,31.2,38.5,49.2
Santa Comba Dão,17.4,23.7,32.6,41.5
São Pedro do Sul,17.7,27.2,37.2,43.4
Sátão,13.4,23.5,32.8,40
Tondela,16.5,24.7,36.1,44.7
Vila Nova de Paiva,13.6,24.8,37.1,44.1
Viseu,12.7,18.2,22.2,28.2
Vouzela,19.3,31,35.1,44.5
Beira Baixa,15.7,33.3,47,50.4
Castelo Branco,14.8,26.2,34.4,37.5
Idanha-a-Nova,16,52.1,80.8,88.7
Oleiros,15.2,30.9,59.3,73.9
Penamacor,16.2,43.3,81.1,89.1
Proença-a-Nova,16.2,33.2,52.1,58.2
Vila Velha de Ródão,20.2,44.3,77,89.1
Médio Tejo,16.4,24.5,34.6,40.1
