Regions,road_acc_1987,road_acc_2019
Portugal,x,x
Pinhel,29.0,29.0
Sabugal,31.0,20.0
Seia,64.0,74.0
Trancoso,32.0,27.0
Área Metropolitana de Lisboa,10075.0,9781.0
Área Metropolitana de Lisboa,10075.0,9781.0
Alcochete,37.0,66.0
Almada,565.0,496.0
Amadora,374.0,602.0
Barreiro,320.0,190.0
Cascais,776.0,637.0
Lisboa,3967.0,2768.0
Loures,674.0,733.0
Mafra,204.0,281.0
Moita,194.0,147.0
Montijo,221.0,155.0
Odivelas,//,423.0
Oeiras,469.0,647.0
Palmela,222.0,267.0
Seixal,388.0,467.0
Sesimbra,92.0,123.0
Setúbal,549.0,414.0
Sintra,627.0,1009.0
Vila Franca de Xira,396.0,356.0
Alentejo,3556.0,2423.0
Alentejo Litoral,495.0,379.0
Alcácer do Sal,93.0,66.0
Grândola,116.0,66.0
Odemira,104.0,99.0
Santiago do Cacém,147.0,91.0
Sines,35.0,57.0
Baixo Alentejo,444.0,369.0
Aljustrel,35.0,41.0
Almodôvar,17.0,15.0
Alvito,6.0,7.0
Barrancos,4.0,3.0
Beja,102.0,85.0
Castro Verde,28.0,19.0
Cuba,14.0,12.0
Ferreira do Alentejo,37.0,34.0
Mértola,30.0,39.0
Moura,23.0,22.0
Ourique,93.0,50.0
Serpa,36.0,28.0
Vidigueira,19.0,14.0
Lezíria do Tejo,1286.0,928.0
Almeirim,119.0,71.0
Alpiarça,29.0,35.0
Azambuja,138.0,109.0
Benavente,108.0,126.0
Cartaxo,83.0,69.0
Chamusca,77.0,42.0
Coruche,124.0,77.0
Golegã,31.0,28.0
Rio Maior,140.0,95.0
Salvaterra de Magos,96.0,65.0
Santarém,341.0,211.0
Alto Alentejo,557.0,303.0
Alter do Chão,18.0,6.0
Arronches,10.0,8.0
Avis,17.0,16.0
Campo Maior,23.0,19.0
Castelo de Vide,8.0,5.0
Crato,14.0,8.0
Elvas,153.0,75.0
Fronteira,12.0,0.0
Gavião,36.0,14.0
Marvão,7.0,4.0
Monforte,15.0,14.0
Nisa,39.0,19.0
Ponte de Sor,122.0,47.0
Portalegre,70.0,56.0
Sousel,13.0,12.0
Alentejo Central,774.0,444.0
Alandroal,14.0,23.0
Arraiolos,26.0,20.0
Borba,33.0,17.0
Estremoz,80.0,53.0
Évora,276.0,148.0
Montemor-o-Novo,103.0,61.0
Mora,21.0,11.0
Mourão,10.0,7.0
Portel,20.0,16.0
Redondo,43.0,16.0
Reguengos de Monsaraz,39.0,17.0
Vendas Novas,54.0,35.0
Viana do Alentejo,21.0,6.0
Vila Viçosa,34.0,14.0
Algarve,2538.0,2154.0
Algarve,2538.0,2154.0
Albufeira,235.0,253.0
Alcoutim,17.0,20.0
Aljezur,34.0,40.0
Castro Marim,67.0,49.0
Faro,432.0,290.0
Lagoa,162.0,119.0
Lagos,164.0,121.0
Loulé,323.0,366.0
Monchique,50.0,31.0
Olhão,228.0,172.0
Portimão,189.0,255.0
São Brás de Alportel,66.0,33.0
Silves,236.0,163.0
Tavira,190.0,141.0
Vila do Bispo,41.0,21.0
Vila Real de Santo António,104.0,80.0
Região Autónoma dos Açores,x,x
Região Autónoma dos Açores,x,x
Ilha de Santa Maria,x,x
Vila do Porto,x,x
Ilha de São Miguel,x,x
Lagoa [R.A.A.],x,x
Nordeste,x,x
Ponta Delgada,x,x
Povoação,x,x
Ribeira Grande,x,x
Vila Franca do Campo,x,x
Ilha Terceira,x,x
Angra do Heroísmo,x,x
Vila da Praia da Vitória,x,x
Ilha Graciosa,x,x
Santa Cruz da Graciosa,x,x
Ilha de São Jorge,x,x
Calheta [R.A.A.],x,x
Velas,x,x
Ilha do Pico,x,x
Lajes do Pico,x,x
Madalena,x,x
São Roque do Pico,x,x
Ilha do Faial,x,x
Horta,x,x
Ilha das Flores,x,x
Lajes das Flores,x,x
Santa Cruz das Flores,x,x
Ilha do Corvo,x,x
Corvo,x,x
Região Autónoma da Madeira,x,x
Região Autónoma da Madeira,x,x
Ilha da Madeira,x,x
Calheta [R.A.M.],x,x
Câmara de Lobos,x,x
Funchal,x,x
Machico,x,x
Ponta do Sol,x,x
Porto Moniz,x,x
Ribeira Brava,x,x
Santa Cruz,x,x
Santana,x,x
São Vicente,x,x
Ilha de Porto Santo,x,x
Porto Santo,x,x
