Regions,pop_per_doc_2001,pop_per_doc_2019,pop_per_pharm_2001,pop_per_pharm_2019
Região de Coimbra,141.4,77.5,900.7,488.7
Arganil,1234.9,1003.7,1358.4,920.1
Cantanhede,788.3,299.5,1304.8,593.9
Coimbra,51.4,28.9,478.3,289.3
Condeixa-a-Nova,261.4,173.2,811.6,504.7
Figueira da Foz,347.8,161.1,1227.5,675.9
Góis,2420.0,1907.5,1613.3,635.8
Lousã,1318.8,571.4,1438.7,1071.4
Mealhada,669.0,311.0,1885.4,796.1
Mira,1284.6,275.2,2569.2,788.8
Miranda do Corvo,1188.9,423.3,6539.0,1154.3
Montemor-o-Velho,3193.8,413.6,1965.4,764.5
Mortágua,689.8,315.3,1478.1,196.2
Oliveira do Hospital,1003.0,584.6,1838.9,689.0
Pampilhosa da Serra,5201.0,2022.3,5201.0,1348.2
Penacova,2382.0,764.1,1852.7,1146.1
Penela,1314.2,451.5,3285.5,1083.6
Soure,1605.9,554.8,1098.8,905.2
Tábua,1259.2,669.7,1573.9,1035.0
Vila Nova de Poiares,1008.9,1386.8,3531.3,2311.3
Região de Leiria,678.3,364.4,1587.6,909.3
Alvaiázere,1052.3,661.2,1683.7,944.5
Ansião,2284.8,670.7,1523.2,862.3
Batalha,3005.7,611.6,1669.8,993.8
Castanheira de Pêra,1236.7,2632.0,3710.0,1316.0
Figueiró dos Vinhos,1826.3,465.7,1217.5,798.3
Leiria,401.8,239.1,1349.8,822.8
Marinha Grande,1275.7,938.0,2232.5,1281.9
Pedrógão Grande,4385.0,1139.8,1461.7,854.9
Pombal,1042.1,437.1,1940.4,874.1
Porto de Mós,1347.8,802.8,1617.3,1058.3
Viseu Dão Lafões,534.0,224.5,1755.1,765.7
Aguiar da Beira,2075.5,587.0,3113.3,1174.0
Carregal do Sal,1037.6,618.7,2075.1,928.1
Castro Daire,2111.9,693.8,3379.0,816.2
Mangualde,997.4,515.7,2618.1,1031.3
Nelas,792.7,361.2,1783.6,1000.2
Oliveira de Frades,962.1,551.6,2645.9,992.8
Penalva do Castelo,2242.1,476.3,2989.5,1190.8
Santa Comba Dão,1036.0,403.0,1554.0,654.9
São Pedro do Sul,791.0,257.4,1898.4,965.3
Sátão,2624.7,463.6,2187.3,1053.7
Tondela,941.4,394.8,1412.2,367.4
Vila Nova de Paiva,3050.0,784.2,3050.0,1176.3
