Regions,spf_2001,spf_2011,spf_senior_2001,spf_senior_2011
Marinha Grande,"1,978","3,300","1,005","1,491"
Pedrógão Grande,398,488,284,333
Pombal,"6,121","4,417","2,562","2,772"
Porto de Mós,"1,314","1,957",823,"1,074"
Viseu Dão Lafões,"15,796","20,197","9,711","11,809"
Aguiar da Beira,435,457,325,319
Carregal do Sal,633,777,428,509
Castro Daire,"1,172","1,377",795,949
Mangualde,"1,148","1,516",803,936
Nelas,895,"1,069",549,712
Oliveira de Frades,488,642,330,392
Penalva do Castelo,774,615,476,446
Santa Comba Dão,745,909,456,582
São Pedro do Sul,"1,114","1,310",760,827
Sátão,712,862,503,591
Tondela,"1,825","2,249","1,243","1,473"
Vila Nova de Paiva,469,436,342,297
Viseu,"4,688","7,192","2,255","3,237"
Vouzela,698,786,446,539
Beira Baixa,"8,336","9,837","5,847","6,244"
Castelo Branco,"4,342","5,631","2,717","3,080"
Idanha-a-Nova,"1,398","1,345","1,115","1,030"
Oleiros,622,703,456,528
Penamacor,812,840,649,637
Proença-a-Nova,727,855,556,624
Vila Velha de Ródão,435,463,354,345
Médio Tejo,"18,209","22,531","11,724","13,254"
Abrantes,"3,021","3,712","2,045","2,269"
Alcanena,"1,052","1,283",649,726
Constância,211,314,146,172
Entroncamento,"1,037","1,718",490,717
Ferreira do Zêzere,877,818,648,552
Mação,850,864,669,650
Ourém,"3,103","3,717","1,832","2,166"
Sardoal,376,331,271,224
Sertã,"1,259","1,678",884,"1,107"
Tomar,"3,220","3,857","2,016","2,244"
Torres Novas,"2,404","3,255","1,529","1,822"
Vila de Rei,337,366,253,260
Vila Nova da Barquinha,462,618,292,345
Beiras e Serra da Estrela,"20,140","22,538","13,648","14,288"
Almeida,779,811,536,544
Belmonte,521,591,382,388
Celorico da Beira,686,729,516,517
Covilhã,"3,751","5,066","2,437","2,799"
Figueira de Castelo Rodrigo,628,617,468,442
Fornos de Algodres,507,485,381,375
Fundão,"2,528","2,890","1,817","1,935"
Gouveia,"1,286","1,384",939,968
Guarda,"3,161","3,466","1,750","1,889"
Manteigas,276,327,195,219
Mêda,574,620,422,435
Pinhel,941,932,679,694
Sabugal,"1,726","1,611","1,295","1,158"
Seia,"1,848","2,058","1,184","1,267"
Trancoso,928,951,647,658
Área Metropolitana de Lisboa,"209,899","293,220","86,875","117,839"
Área Metropolitana de Lisboa,"209,899","293,220","86,875","117,839"
Alcochete,835,"1,402",416,571
Almada,"11,955","18,544","5,112","7,846"
Amadora,"14,556","20,119","5,095","7,948"
Barreiro,"5,297","8,113","2,618","3,804"
Cascais,"12,269","20,210","4,859","8,021"
Lisboa,"71,622","85,244","33,770","36,521"
Loures,"┴  11,349","17,492","┴  4,362","6,990"
Mafra,"3,661","5,616","1,810","2,261"
Moita,"3,751","5,765","1,800","2,534"
Montijo,"2,835","4,632","1,495","1,844"
Odivelas,"8,582","12,970","2,919","4,663"
Oeiras,"13,302","19,571","4,790","7,602"
Palmela,"2,743","4,361","1,327","1,957"
Seixal,"7,817","12,994","2,432","4,429"
Sesimbra,"1,852","4,062",904,"1,598"
Setúbal,"8,406","11,248","3,579","4,794"
Sintra,"22,025","30,283","6,909","10,612"
Vila Franca de Xira,"7,042","10,594","2,678","3,844"
Alentejo,"58,553","71,676","36,630","40,787"
Alentejo Litoral,"8,016","10,594","4,699","5,541"
Alcácer do Sal,"1,101","1,187",707,737
Grândola,"1,218","1,535",780,862
Odemira,"2,465","3,437","1,490","1,758"
Santiago do Cacém,"2,364","3,120","1,338","1,647"
Sines,868,"1,315",384,537
Baixo Alentejo,"10,370","12,569","6,817","7,306"
Aljustrel,794,905,534,555
