Regions,env_exp_2001,env_exp_2018
Área Metropolitana de Lisboa,8.2,9.9
Área Metropolitana de Lisboa,8.2,9.9
Alcochete,11.0,4.2
Almada,3.5,14.8
Amadora,7.1,12.6
Barreiro,7.0,7.8
Cascais,1.5,20.5
Lisboa,8.7,7.8
Loures,6.9,9.2
Mafra,13.3,11.0
Moita,9.2,10.3
Montijo,8.1,8.6
Odivelas,5.6,2.1
Oeiras,4.7,9.6
Palmela,7.5,9.4
Seixal,7.4,7.0
Sesimbra,19.4,15.6
Setúbal,25.6,11.3
Sintra,5.2,11.9
Vila Franca de Xira,5.7,4.9
Alentejo,6.5,7.6
Alentejo Litoral,9.1,6.6
Alcácer do Sal,12.4,8.1
Grândola,5.1,5.1
Odemira,7.9,6.7
Santiago do Cacém,15.5,8.9
Sines,4.4,4.1
Baixo Alentejo,4.8,7.0
Aljustrel,2.6,13.1
Almodôvar,5.9,5.8
Alvito,7.1,2.8
Barrancos,3.8,8.2
Beja,3.9,10.4
Castro Verde,2.5,5.3
Cuba,4.8,5.3
Ferreira do Alentejo,5.3,5.6
Mértola,6.7,4.7
Moura,8.2,6.3
Ourique,0.9,7.2
Serpa,4.5,5.1
Vidigueira,7.2,6.8
Lezíria do Tejo,7.7,10.3
Almeirim,5.7,8.3
Alpiarça,3.1,24.3
Azambuja,12.1,7.2
Benavente,9.0,12.0
Cartaxo,11.1,13.1
Chamusca,4.8,8.0
Coruche,5.4,8.4
Golegã,9.3,12.9
Rio Maior,8.3,4.5
Salvaterra de Magos,12.0,9.2
Santarém,6.1,13.2
Alto Alentejo,-,7.5
Alter do Chão,9.9,6.9
Arronches,3.2,5.2
Avis,1.8,4.9
Campo Maior,7.3,8.3
Castelo de Vide,9.3,8.3
Crato,7.2,4.4
Elvas,4.5,6.7
Fronteira,2.0,6.3
Gavião,12.5,8.1
Marvão,2.3,3.5
Monforte,1.5,5.3
Nisa,4.7,11.3
Ponte de Sor,2.0,7.7
Portalegre,5.6,11.7
Sousel,1.1,6.5
Alentejo Central,-,6.2
Alandroal,5.2,3.5
Arraiolos,2.9,5.1
Borba,5.9,6.7
Estremoz,11.9,5.4
Évora,5.2,7.6
Montemor-o-Novo,5.9,6.3
Mora,7.8,4.6
Mourão,0.0,9.6
Portel,12.1,5.9
Redondo,1.3,5.2
Reguengos de Monsaraz,2.1,4.5
Vendas Novas,12.6,9.0
Viana do Alentejo,6.8,2.6
Vila Viçosa,6.5,9.9
Algarve,15.3,9.0
Algarve,15.3,9.0
Albufeira,21.9,10.1
Alcoutim,9.0,3.3
Aljezur,10.0,8.2
Castro Marim,2.0,7.9
Faro,7.3,4.1
Lagoa,12.1,10.1
Lagos,27.0,8.8
Loulé,14.7,11.0
Monchique,11.1,15.1
Olhão,22.4,11.8
Portimão,13.7,2.5
São Brás de Alportel,9.7,13.8
Silves,12.4,10.7
Tavira,8.9,6.2
Vila do Bispo,13.9,7.5
Vila Real de Santo António,25.8,8.5
Região Autónoma dos Açores,5.5,6.5
Região Autónoma dos Açores,5.5,6.5
Ilha de Santa Maria,1.6,3.3
Vila do Porto,1.6,3.3
Ilha de São Miguel,8.6,8.0
Lagoa [R.A.A.],10.3,6.2
Nordeste,12.4,4.6
Ponta Delgada,10.2,11.3
Povoação,6.6,1.8
Ribeira Grande,6.2,5.8
Vila Franca do Campo,4.6,6.7
Ilha Terceira,1.8,3.6
Angra do Heroísmo,3.0,3.2
Vila da Praia da Vitória,0.2,4.1
Ilha Graciosa,26.9,4.4
Santa Cruz da Graciosa,26.9,4.4
Ilha de São Jorge,3.5,4.8
Calheta [R.A.A.],4.2,1.6
Velas,3.0,7.3
Ilha do Pico,1.2,4.3
Lajes do Pico,2.5,5.1
Madalena,0.5,3.0
São Roque do Pico,0.3,5.4
Ilha do Faial,5.6,11.9
Horta,5.6,11.9
Ilha das Flores,0.8,4.4
Lajes das Flores,0.0,4.1
Santa Cruz das Flores,2.6,4.6
Ilha do Corvo,1.3,1.9
Corvo,1.3,1.9
Região Autónoma da Madeira,11.5,13.9
Região Autónoma da Madeira,11.5,13.9
Ilha da Madeira,11.7,14.2
Calheta [R.A.M.],2.4,9.0
Câmara de Lobos,10.9,8.2
Funchal,14.2,18.3
Machico,11.4,10.4
Ponta do Sol,4.4,11.1
Porto Moniz,3.3,5.5
Ribeira Brava,2.5,6.7
Santa Cruz,39.6,18.4
Santana,3.3,2.6
São Vicente,5.0,10.8
Ilha de Porto Santo,8.0,5.6
Porto Santo,8.0,5.6
