Regions,purchasing_power_1993,purchasing_power_2017
Barreiro,90.9,100
Cascais,144.8,122.1
Lisboa,291,219.6
Loures,112.2,92.3
Mafra,83.6,96.3
Moita,84.6,82
Montijo,95.5,99.2
Odivelas,//,89.3
Oeiras,139.7,156.5
Palmela,76.4,98.1
Seixal,105.1,89.7
Sesimbra,115.5,90
Setúbal,128.9,107.5
Sintra,112.7,94.1
Vila Franca de Xira,104.6,98.4
Alentejo,71.3,90.1
Alentejo Litoral,67.4,92.5
Alcácer do Sal,52.8,81.5
Grândola,71.7,85.9
Odemira,41.8,81.7
Santiago do Cacém,72.2,92.3
Sines,121.3,128.7
Baixo Alentejo,61.2,85.3
Aljustrel,57.3,87.9
Almodôvar,38.4,79.5
Alvito,37.9,66.7
Barrancos,30.7,63.4
Beja,99.1,105.3
Castro Verde,52.6,102.1
Cuba,40.6,67.9
Ferreira do Alentejo,56.7,73
Mértola,31.6,66.6
Moura,60.4,77.5
Ourique,34.5,77.3
Serpa,44.7,72.8
Vidigueira,51.1,72.8
Lezíria do Tejo,77.4,90.7
Almeirim,80.7,86.2
Alpiarça,67.8,77.1
Azambuja,63.8,106.2
Benavente,93.8,94.4
Cartaxo,76.4,86.5
Chamusca,45.3,71.7
Coruche,53.1,76.8
Golegã,65,82.6
Rio Maior,85.2,90.2
Salvaterra de Magos,49.5,77.5
Santarém,100,101.4
Alto Alentejo,x,85.9
Alter do Chão,49.8,72.9
Arronches,34.4,72
Avis,56.8,74.1
Campo Maior,71.6,94
Castelo de Vide,37.8,81.6
Crato,47.3,72.8
Elvas,88.8,89
Fronteira,48.3,79
Gavião,28,71.8
Marvão,38.5,64.8
Monforte,38.8,73.9
Nisa,56.7,73.2
Ponte de Sor,58.5,84.4
Portalegre,91.4,104.1
Sousel,71.1,69
Alentejo Central,x,94.4
Alandroal,37.5,64.5
Arraiolos,44.1,73.3
Borba,62.2,73.9
Estremoz,78.1,93.9
Évora,112,117.3
Montemor-o-Novo,66.1,86.8
Mora,42.5,82.4
Mourão,43,69.9
Portel,32.5,64.8
Redondo,49.7,71.9
Reguengos de Monsaraz,63.9,89.4
Vendas Novas,87.3,95.2
Viana do Alentejo,44.2,79.3
Vila Viçosa,81.6,83.4
Algarve,109,99.1
Algarve,109,99.1
Albufeira,98.4,112
Alcoutim,29.3,67.5
Aljezur,41.9,63.1
Castro Marim,28.6,71.7
Faro,160.1,132.5
Lagoa,104.5,89.8
Lagos,116.5,93.8
Loulé,132,105.9
Monchique,53.8,61.9
Olhão,87.4,81.1
Portimão,137.8,103.5
São Brás de Alportel,78.6,84.8
Silves,68.7,76.9
Tavira,77.6,92
Vila do Bispo,50.7,64.6
Vila Real de Santo António,131.1,91.8
Região Autónoma dos Açores,67.6,87.3
Região Autónoma dos Açores,67.6,87.3
Ilha de Santa Maria,73.8,89.7
Vila do Porto,73.8,89.7
Ilha de São Miguel,70.8,88.6
Lagoa [R.A.A.],46,74.2
Nordeste,28.1,62.5
Ponta Delgada,99.1,107.8
Povoação,35.4,66.3
Ribeira Grande,43.9,71.1
Vila Franca do Campo,47.2,65
Ilha Terceira,70.2,87
Angra do Heroísmo,79.2,94.7
Vila da Praia da Vitória,56.3,74.7
Ilha Graciosa,42.1,73.1
Santa Cruz da Graciosa,42.1,73.1
Ilha de São Jorge,42.4,80.8
Calheta [R.A.A.],38.5,77.1
Velas,45.4,83.1
Ilha do Pico,42.2,81
Lajes do Pico,36.8,70
Madalena,46.4,89.1
São Roque do Pico,43.5,81.5
Ilha do Faial,83.8,90.7
Horta,83.8,90.7
Ilha das Flores,53,82.9
Lajes das Flores,45,74.8
Santa Cruz das Flores,57.6,88.4
Ilha do Corvo,45.6,76.2
Corvo,45.6,76.2
Região Autónoma da Madeira,67,86.5
Região Autónoma da Madeira,67,86.5
Ilha da Madeira,67.3,x
Calheta [R.A.M.],29,62.8
Câmara de Lobos,28.1,58.3
Funchal,103.6,114.3
Machico,33.2,78.2
Ponta do Sol,31.5,55.2
Porto Moniz,25.1,56.9
Ribeira Brava,33.8,68.4
Santa Cruz,43.3,71.5
Santana,30.1,58.3
São Vicente,25.6,61
Ilha de Porto Santo,50.6,93.5
Porto Santo,50.6,93.5
